Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Blue Star Ltd.,Air conditioner,4.77,88.9,3.80%,0.10%,4.5% (Mar 2017),3.38% (Jun 2017),1.19 L,0.00,Small Cap,42.73
Navin Flourine International Ltd.,Chemicals  inorganic,3.3,77.2,3.30%,0.04%,4.12% (Mar 2017),2.94% (Nov 2017),95.23 k,4.21 k,Small Cap,42.73
Timken India Ltd.,Bearings,3.04,71,3.04%,0.66%,3.7% (Jan 2018),3.04% (Feb 2018),90.31 k,0.10 L,Small Cap,42.73
Ashoka Buildcon Ltd.,"Engineering, designing, construction",5.1,69.1,2.96%,0.00%,3.33% (Nov 2017),2.75% (Jun 2017),3.16 L,0.00,Small Cap,42.73
J.K. Cement Ltd.,Cement,2.9,67.9,2.90%,0.18%,4.02% (May 2017),2.9% (Feb 2018),67.11 k,0.00,Small Cap,42.73
DCB Bank Ltd.,Banks,2.48,58,2.48%,0.05%,3.31% (Jun 2017),2.48% (Feb 2018),3.53 L,0.00,Small Cap,42.73
Praj Industries Ltd.,"Engineering, designing, construction",5.1,50.1,2.14%,0.28%,2.62% (Nov 2017),1.77% (Jul 2017),5.53 L,0.00,Small Cap,42.73
Kalpataru Power Transmission Ltd.,Transmission towers,2.08,48.6,2.08%,0.31%,0% (May 2019),0% (May 2019),97.00 k,0.00,Small Cap,42.73
PVR Ltd.,"Flim production, distribution & exhibition",2,46.7,2.00%,0.13%,4.36% (Mar 2017),2% (Feb 2018),35.40 k,0.00,Small Cap,42.73
Ador Welding Ltd.,Electrodes,1.93,45.1,1.93%,0.23%,2.58% (Oct 2017),1.93% (Feb 2018),1.05 L,0.00,Small Cap,42.73
Rane Holdings Ltd.,Investment companies,1.76,41.2,1.76%,1.94%,4.18% (Dec 2017),1.76% (Feb 2018),16.29 k,0.19 L,Small Cap,42.73
Ksb Pumps Ltd.,Compressors / pumps,2.25,32,1.37%,0.11%,1.53% (Oct 2017),1.31% (Feb 2017),40.00 k,0.00,Small Cap,42.73
Khadim India Ltd.,Leather and leather products,1.28,30,1.28%,0.01%,0% (May 2019),0% (May 2019),42.71 k,1.83 k,Small Cap,42.73
Thyrocare Technologies Ltd.,Healthcare service providers,1.27,29.7,1.27%,0.08%,0% (May 2019),0% (May 2019),47.53 k,0.00,Small Cap,42.73
Power Trading Corporation of India Ltd.,Power trading,1.21,28.2,1.21%,0.02%,1.6% (Sep 2017),1.19% (Jan 2018),2.75 L,0.00,Small Cap,42.73
Salzer Electronics Ltd.,Consumer elctronics,1.18,27.6,1.18%,0.12%,1.52% (Apr 2017),1.18% (Feb 2018),1.30 L,0.22 L,Small Cap,42.73
Kennametal India Ltd.,Industrial equipment,1.05,24.5,1.05%,0.06%,1.17% (Dec 2017),0.45% (Feb 2017),33.00 k,0.00,Small Cap,42.73
M M Forgings Ltd.,Castings/forgings,1,23.4,1.00%,1.85%,3.91% (Oct 2017),1% (Feb 2018),21.47 k,0.42 L,Small Cap,42.73
Navneet Publications (india) Ltd.,Printing and publishing,1.73,22.9,0.98%,0.04%,1.45% (May 2017),0.98% (Feb 2018),1.68 L,0.00,Small Cap,42.73
Johnson ControlsHitachi Air Conditioning India Ltd.,Air conditioner,4.77,22.7,0.97%,0.17%,1.48% (Nov 2017),0.93% (Feb 2017),10.00 k,1.00 k,Small Cap,42.73
WPIL Ltd.,Compressors / pumps,2.25,20.5,0.88%,0.21%,1.24% (Mar 2017),0.88% (Feb 2018),35.40 k,3.60 k,Small Cap,42.73
S Chand And Company Ltd.,Printing and publishing,1.73,17.6,0.75%,0.01%,0% (May 2019),0% (May 2019),38.55 k,0.00,Small Cap,42.73
Dollar Industries Ltd.,Fabrics and garments,0.73,17.1,0.73%,0.19%,0% (May 2019),0% (May 2019),37.35 k,0.13 L,Small Cap,42.73
Repco Home Finance Ltd.,Housing finance,0.6,14.1,0.60%,0.49%,1.65% (Jun 2017),0.6% (Feb 2018),24.92 k,0.18 L,Small Cap,42.73
HSIL Ltd.,Glass – consumer,0.58,13.5,0.58%,1.40%,2.45% (Nov 2017),0.58% (Feb 2018),30.79 k,0.80 L,Small Cap,42.73
Asian Granito India Ltd.,Sanitary ware,0.49,11.6,0.49%,0.04%,0% (May 2019),0% (May 2019),23.55 k,0.00,Small Cap,42.73
Minda Industries Ltd.,Auto ancillaries,,50.6,0.00%,2.09%,,,,,Small Cap,42.73
ZF Steering Gear (India) Ltd.,Auto ancillaries,,0.8,0.00%,0.03%,,,,,Small Cap,42.73
Take Solutions Ltd.,Computers  software,,2.5,0.00%,0.10%,,,,,Small Cap,42.73
India Cements Ltd.,Cement,2.9,73.8,0.00%,3.04%,,,,,Small Cap,42.73
VA Tech Wabag Ltd.,"Engineering, designing, construction",5.1,23.2,0.00%,0.95%,,,,,Small Cap,42.73
