Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,23.88,207.8,8.31%,0.08%,7.68% (Oct 2018),7.68% (Oct 2018),89.66 k,0.00,Large Cap,79.52
Reliance Industries Ltd.,Refineries/marketing,8.01,184.6,7.38%,0.79%,5.47% (May 2018),5.47% (May 2018),1.33 L,0.16 L,Large Cap,79.52
Infosys Ltd.,Computers  software,11.36,123,4.92%,0.01%,2.25% (May 2018),2.25% (May 2018),1.64 L,0.00,Large Cap,79.52
ICICI Bank Ltd.,Banks,23.88,113.7,4.54%,0.03%,1.5% (Sep 2018),0% (May 2018),2.79 L,0.00,Large Cap,79.52
Tata Consultancy Services Ltd.,Computers  software,11.36,108.9,4.35%,0.46%,3.72% (Dec 2018),0% (May 2018),48.17 k,0.00,Large Cap,79.52
ITC Limited,Cigarettes,4.2,105.2,4.20%,0.01%,4% (Feb 2019),4% (Feb 2019),3.49 L,0.00,Large Cap,79.52
Axis Bank Ltd.,Banks,23.88,93.2,3.73%,0.09%,1.35% (May 2018),1.35% (May 2018),1.22 L,0.00,Large Cap,79.52
Kotak Mahindra Bank Ltd.,Banks,23.88,84,3.36%,0.10%,2.68% (Sep 2018),2.68% (Sep 2018),60.57 k,0.00,Large Cap,79.52
Housing Development Finance Corporation Ltd.,Housing finance,3.75,81,3.24%,0.01%,3.23% (Mar 2019),3.23% (Mar 2019),40.59 k,0.00,Large Cap,79.52
Bajaj Finance Ltd.,Nbfc,5.42,65.8,2.63%,0.03%,1.13% (Oct 2018),0% (May 2018),21.25 k,0.00,Large Cap,79.52
Larsen & Toubro Ltd.,"Engineering, designing, construction",2.24,56,2.24%,0.53%,2.24% (Apr 2019),2.24% (Apr 2019),41.51 k,8.00 k,Large Cap,79.52
Bajaj Finserv Ltd,Nbfc,5.42,51.8,2.07%,0.11%,1.57% (Jan 2019),1.57% (Jan 2019),6.89 k,0.00,Large Cap,79.52
State Bank Of India,Banks,23.88,43.4,1.73%,0.08%,1.29% (Dec 2018),0% (May 2018),1.40 L,0.00,Large Cap,79.52
#GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,3.33,41,1.64%,1.64%,1.64% (Apr 2019),0% (May 2018),5.63 k,5.63 k,Large Cap,79.52
HCL Technologies Limited,Computers  software,11.36,40.4,1.61%,0.59%,1.02% (Mar 2019),1.02% (Jan 2019),34.14 k,11.00 k,Large Cap,79.52
Titan Company Ltd.,"Gems, jewellery and watches",1.57,39.4,1.57%,1.06%,0.81% (Dec 2018),0% (May 2018),34.00 k,0.23 L,Large Cap,79.52
Maruti Suzuki India Ltd.,Passenger/utility vehicles,2.36,38.3,1.53%,0.52%,1.01% (Mar 2019),1.01% (Mar 2019),5.75 k,2.00 k,Large Cap,79.52
Asian Paints (india) Ltd.,Paints,1.46,36.6,1.46%,0.05%,1.3% (Nov 2018),0% (May 2018),25.00 k,0.00,Large Cap,79.52
Havells India Ltd.,Consumer elctronics,1.3,32.5,1.30%,0.01%,0.62% (Jan 2019),0% (May 2018),42.00 k,0.00,Large Cap,79.52
Indusind Bank Ltd.,Banks,23.88,32.1,1.28%,0.16%,1.28% (Apr 2019),0% (May 2018),20.00 k,0.00,Large Cap,79.52
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,4.61,32,1.28%,0.07%,0.83% (Jan 2019),0.83% (Jan 2019),70.00 k,0.00,Large Cap,79.52
Tata Motors Ltd.  A Class,Commercial vehicles,1.23,30.7,1.23%,0.19%,0.46% (Feb 2019),0% (May 2018),3.00 L,0.00,Mid Cap,9.54
Nestle India Ltd.,Consumer food,3.33,29.6,1.18%,0.02%,1.01% (Jun 2018),0% (May 2018),2.71 k,0.00,Large Cap,79.52
Bajaj Auto Ltd.,Motor cycles/scooters,1.13,28.4,1.13%,0.31%,0.78% (Jan 2019),0% (May 2018),9.50 k,2.50 k,Large Cap,79.52
#Tech Mahindra Ltd.,Software telecom,1.04,25.9,1.04%,1.04%,1.04% (Apr 2019),0% (May 2018),31.00 k,31.00 k,Large Cap,79.52
Fine Organic Industries Ltd.,Chemicals  speciality,2,25.3,1.01%,0.00%,0.99% (Nov 2018),0% (May 2018),18.24 k,2.00 k,Small Cap,7.32
Sun TV Network Ltd.,Tv broadcasting & software production,0.99,24.7,0.99%,0.20%,0.46% (Feb 2019),0% (May 2018),43.00 k,4.00 k,Mid Cap,9.54
Pidilite Industries Ltd.,Chemicals  speciality,2,24.7,0.99%,0.02%,0.49% (Jan 2019),0% (May 2018),20.00 k,0.00,Large Cap,79.52
Coal India Ltd.,Industrial minerals,1.44,24,0.96%,0.48%,0.48% (Mar 2019),0% (May 2018),95.00 k,45.00 k,Large Cap,79.52
City Union Bank Ltd.,Banks,23.88,23.3,0.93%,0.02%,0.88% (Nov 2018),0% (May 2018),1.15 L,0.00,Mid Cap,9.54
Power Grid Corporation of India Ltd.,Power transmission,0.86,21.4,0.86%,0.18%,0.48% (Feb 2019),0% (May 2018),1.15 L,30.00 k,Large Cap,79.52
Orient Electric Ltd.,Home appliances,0.85,21.4,0.85%,0.23%,0.62% (Mar 2019),0% (May 2018),1.40 L,40.00 k,Small Cap,7.32
Abbott India Ltd.,Pharmaceuticals,4.61,20.7,0.83%,0.01%,0.57% (Aug 2018),0% (May 2018),2.79 k,0.00,Mid Cap,9.54
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,2.36,20.7,0.83%,0.04%,0.74% (Jan 2019),0.74% (Jan 2019),32.00 k,0.00,Large Cap,79.52
Mahanagar Gas Ltd.,Lpg/cng/png/lng supplier,0.81,20.2,0.81%,0.08%,0.76% (Nov 2018),0.76% (Nov 2018),20.95 k,0.00,Mid Cap,9.54
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,4.61,19.2,0.77%,0.62%,0.65% (May 2018),0.65% (May 2018),10.70 k,7.00 k,Large Cap,79.52
Muthoot Finance Pvt. Ltd.,Nbfc,5.42,17.9,0.72%,0.03%,0.66% (Jan 2019),0% (May 2018),30.00 k,0.00,Mid Cap,9.54
Bharti Airtel Ltd.,Telecom  services,0.74,17.3,0.69%,0.04%,0.64% (Aug 2018),0% (May 2018),54.00 k,0.00,Large Cap,79.52
