Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Exide Industries Ltd.,Batteries – automobile,4.35,1603.8,4.35%,0.06%,4.14% (May 2018),4.14% (May 2018),74.89 L,0.00,Mid Cap,67.68
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,4.04,1492.2,4.04%,0.23%,2.78% (May 2018),2.78% (May 2018),47.70 L,0.00,Mid Cap,67.68
Torrent Power Ltd.,Power,4.15,1344.5,3.64%,0.06%,3% (Jun 2018),3% (Jun 2018),53.10 L,0.00,Mid Cap,67.68
Mahindra & Mahindra Financial Services Ltd.,Nbfc,8.98,1206.2,3.27%,0.05%,3.27% (Apr 2019),3.27% (Apr 2019),30.11 L,0.00,Mid Cap,67.68
Titan Company Ltd.,"Gems, jewellery and watches",2.98,1098.4,2.98%,0.15%,2.11% (May 2018),2.11% (May 2018),9.48 L,0.00,Large Cap,8.44
Escorts Ltd.,Tractors,2.86,1056.3,2.86%,0.12%,2.47% (Sep 2018),2.47% (Sep 2018),14.29 L,0.00,Mid Cap,67.68
National Aluminium Co. Ltd.,Aluminium,2.79,1028.6,2.79%,0.09%,2.79% (Apr 2019),2.79% (Apr 2019),1.99 Cr,0.00,Mid Cap,67.68
Federal Bank Ltd.,Banks,5.74,998.9,2.71%,0.18%,1.79% (Sep 2018),1.79% (Sep 2018),1.08 Cr,7.36 L,Mid Cap,67.68
Mphasis Ltd.,Computers  software,2.61,963.1,2.61%,0.03%,2.58% (Mar 2019),2.58% (Mar 2019),9.93 L,0.00,Mid Cap,67.68
Coromandel International Ltd.,Fertilisersphosphatic,2.58,954,2.58%,0.34%,1.68% (Jun 2018),1.68% (Jun 2018),21.96 L,0.00,Mid Cap,67.68
Tata Chemicals Ltd.,Chemicals  inorganic,2.52,928.6,2.52%,0.04%,2.48% (Mar 2019),2.48% (Mar 2019),16.09 L,0.00,Mid Cap,67.68
Syngene International Ltd.,Pharmaceuticals,3.88,917.9,2.49%,0.16%,1.96% (May 2018),1.96% (May 2018),14.96 L,0.00,Mid Cap,67.68
Tata Global Beverages Ltd.,Tea &  coffee,2.47,910.8,2.47%,0.15%,2.32% (Mar 2019),2.32% (Mar 2019),43.54 L,0.00,Mid Cap,67.68
Pi Industries Ltd.,Pesticides and agrochemicals,2.37,876,2.37%,0.10%,1.45% (Aug 2018),1.45% (Aug 2018),8.39 L,0.00,Mid Cap,67.68
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,2.35,867.3,2.35%,0.09%,1.67% (May 2018),1.67% (May 2018),1.19 L,0.00,Large Cap,8.44
NCC Ltd.,"Engineering, designing, construction",5.07,854.5,2.32%,0.22%,1.61% (Sep 2018),1.61% (Sep 2018),86.14 L,0.00,Small Cap,19.35
MRF Ltd.,Tyres & allied,2.28,840.6,2.28%,0.13%,2.28% (Apr 2019),2.28% (Apr 2019),15.89 k,0.00,Mid Cap,67.68
SRF Ltd.,Textiles,2.23,823.5,2.23%,0.21%,1.24% (Jul 2018),1.24% (Jul 2018),3.21 L,0.00,Mid Cap,67.68
Emami Ltd.,Personal care,2.3,732.7,1.99%,0.01%,1.9% (Oct 2018),1.9% (Oct 2018),18.92 L,0.00,Mid Cap,67.68
Aditya Birla Fashion and Retail Ltd.,Retailing,1.95,720.5,1.95%,0.02%,1% (Sep 2018),0% (May 2018),33.40 L,0.00,Mid Cap,67.68
Chambal Fertilizers & Chemicals Ltd.,Fertiliserscomposite,2.63,714.7,1.94%,0.07%,1.59% (Jul 2018),1.59% (Jul 2018),46.05 L,0.00,Small Cap,19.35
