Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

The Ramco Cements Ltd.,Cement,6.01,17,4.78%,0.29%,3.9% (Nov 2018),3.9% (Nov 2018),21.93 k,0.00,Mid Cap,69.02
Apollo Hospitals Enterprises Ltd.,Hospital,4.25,15.1,4.25%,0.01%,3.62% (Jul 2018),3.62% (Jul 2018),12.40 k,0.00,Mid Cap,69.02
Bajaj Finance Ltd.,Nbfc,10.47,13.6,3.82%,0.13%,2.5% (May 2018),2.5% (May 2018),4.38 k,0.00,Large Cap,12.92
Bata India Ltd.,Leather and leather products,3.39,12,3.39%,0.15%,2.05% (May 2018),2.05% (May 2018),8.28 k,0.00,Mid Cap,69.02
Trent Limited,Retailing,5.49,11.9,3.36%,0.02%,2.86% (Jun 2018),2.86% (Jun 2018),33.58 k,0.00,Mid Cap,69.02
Varun Beverages Ltd.,Consumer food,6.16,11.2,3.15%,1.09%,2.06% (Mar 2019),0% (May 2018),12.79 k,4.24 k,Mid Cap,69.02
Thermax Ltd.,Industrial equipment,3.12,11.1,3.12%,0.75%,2.37% (Mar 2019),0% (May 2018),11.36 k,2.61 k,Mid Cap,69.02
Jubilant Foodworks Ltd.,Consumer food,6.16,10.7,3.01%,0.23%,2.57% (Oct 2018),2.57% (Oct 2018),8.05 k,0.00,Mid Cap,69.02
Cholamandalam Investment & Finance Co. Ltd.,Nbfc,10.47,10.4,2.93%,0.10%,2.61% (Sep 2018),2.61% (Sep 2018),7.49 k,0.00,Mid Cap,69.02
City Union Bank Ltd.,Banks,4.9,9.5,2.67%,0.00%,2.17% (Jul 2018),2.17% (Jul 2018),46.79 k,0.00,Mid Cap,69.02
Cesc Ltd.,Power,2.66,9.4,2.66%,0.08%,2.58% (Dec 2018),2.58% (Dec 2018),13.44 k,0.00,Mid Cap,69.02
ICICI Lombard General Insurance Co Ltd.,Insurance,4.73,9.2,2.58%,0.17%,1.64% (Jun 2018),1.64% (Jun 2018),8.38 k,0.00,Large Cap,12.92
L&T Technology Services Ltd.,It enabled services – software,2.49,8.9,2.49%,0.26%,0.35% (Jul 2018),0.35% (Jul 2018),5.10 k,0.00,Mid Cap,69.02
Mphasis Ltd.,Computers  software,2.35,8.3,2.35%,0.03%,2.35% (Apr 2019),2.35% (Apr 2019),8.60 k,0.00,Mid Cap,69.02
Siemens Ltd.,Power equipment,2.32,8.2,2.32%,0.11%,1.86% (Aug 2018),1.86% (Aug 2018),7.02 k,0.00,Large Cap,12.92
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,2.31,8.2,2.31%,0.08%,1.88% (Jun 2018),1.88% (Jun 2018),26.25 k,0.00,Mid Cap,69.02
EIH Ltd,Hotels/resorts,2.3,8.2,2.30%,0.18%,1.91% (Sep 2018),1.91% (Sep 2018),43.14 k,0.00,Mid Cap,69.02
#Crompton Greaves Consumer Electricals Ltd.,Home appliances,4.25,7.8,2.18%,2.18%,2.18% (Apr 2019),0% (May 2018),32.63 k,32.63 k,Mid Cap,69.02
VGuard Industries Ltd.,Industrial electronics,2.17,7.7,2.17%,0.02%,1.86% (Sep 2018),1.86% (Sep 2018),35.32 k,0.00,Small Cap,11.68
Quess Corp Ltd.,Diversified commercial services,2.17,7.7,2.17%,0.12%,2.07% (Jan 2019),2.07% (Jan 2019),11.00 k,0.00,Mid Cap,69.02
Redington (India) Ltd.,Logistics solution provider,2.15,7.7,2.15%,0.01%,1.66% (Jan 2019),1.66% (Jan 2019),75.19 k,0.00,Small Cap,11.68
SBI Life Insurance Co Ltd.,Insurance,4.73,7.6,2.15%,0.21%,1.82% (Sep 2018),1.82% (Sep 2018),11.91 k,0.00,Large Cap,12.92
Aditya Birla Fashion and Retail Ltd.,Retailing,5.49,7.6,2.13%,0.02%,0.93% (Jul 2018),0.93% (Jul 2018),35.12 k,0.00,Mid Cap,69.02
Whirlpool Of India Ltd.,Home appliances,4.25,7.3,2.07%,1.08%,0.93% (Dec 2018),0.93% (Dec 2018),5.26 k,2.94 k,Mid Cap,69.02
Oberoi Realty Ltd.,Residential/commercial/sez project,1.91,6.8,1.91%,0.06%,1.53% (Aug 2018),0% (May 2018),13.35 k,0.00,Mid Cap,69.02
Mahindra & Mahindra Financial Services Ltd.,Nbfc,10.47,6.7,1.88%,0.08%,1.88% (Apr 2019),1.88% (Apr 2019),16.65 k,0.00,Mid Cap,69.02
Max Financial Services Ltd.,Nbfc,10.47,6.5,1.84%,0.06%,1.79% (Oct 2018),1.79% (Oct 2018),15.60 k,0.00,Mid Cap,69.02
LIC Housing Finance Ltd.,Housing finance,1.79,6.4,1.79%,0.11%,1.6% (Sep 2018),0% (May 2018),12.81 k,0.00,Mid Cap,69.02
GMR Infrastructure Ltd.,"Engineering, designing, construction",1.75,6.2,1.75%,0.31%,1.6% (Jun 2018),1.6% (Jun 2018),3.72 L,0.00,Mid Cap,69.02
Castrol (india) Ltd.,Lubricants,1.69,6,1.69%,0.13%,1.63% (Aug 2018),1.63% (Aug 2018),39.42 k,0.00,Mid Cap,69.02
Vardhman Textiles Ltd.,Spinningcotton/blended,1.58,5.6,1.58%,0.07%,1.43% (Aug 2018),1.43% (Aug 2018),4.98 k,0.00,Small Cap,11.68
Jindal Steel & Power Ltd.,Steel,1.52,5.4,1.52%,0.00%,1.23% (Jan 2019),1.23% (Jan 2019),30.25 k,0.00,Mid Cap,69.02
WABCO India Ltd.,Auto ancillaries,3.67,5.4,1.51%,0.08%,1.5% (May 2018),1.5% (May 2018),859.00,0.00,Mid Cap,69.02
SundaramClayton Ltd.,Auto ancillaries,3.67,5.3,1.51%,0.03%,1.51% (Apr 2019),1.51% (Apr 2019),1.90 k,0.00,Small Cap,11.68
JM Financial Ltd.,Stockbroking and allied,3.44,5.3,1.50%,0.08%,1.38% (Oct 2018),1.38% (Oct 2018),60.00 k,0.00,Small Cap,11.68
